time,px,py,yaw,v,slip_angle,omega,accel,steer
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.02,0.0400002,0.0,0.0,2.0002843299335034,0.00016327328377991845,0.001714377600151801,0.014909241998773484,0.0007256632763281226
0.04,0.0800060860654283,6.531892446470517e-06,3.428755200296507e-05,2.0008429817734132,0.0003868431891763816,0.004490290915767189,0.02981841636260767,0.0014513242794540724
0.06,0.12002314215236182,2.3384305932441027e-05,0.00012409337031815681,2.001675936432456,0.0006252610958041058,0.00790795342077422,0.04472745545687006,0.0021769807361827972
0.08,0.16005684964090205,5.338374904962807e-05,0.0002822524387338099,2.0027831637643736,0.0008607153391777186,0.011706000319163135,0.05963629164754185,0.002902630373333487
0.1,0.20011268675219634,9.916630012151058e-05,0.0005163724451171525,2.004164622565926,0.0010878652794917088,0.015726159581293066,0.0745448573015246,0.003628270917746695
0.12,0.2401961276245152,0.00016346972326432887,0.0008308956367431009,2.005820260579713,0.001306452586047251,0.01987503787645194,0.0894530847869473,0.004353900096291457
0.14,0.2803126412046545,0.0002492128128349263,0.001228396394272302,2.0077500144978018,0.0015178971188441839,0.024098965499429775,0.10436090647347286,0.005079515635872418
0.16,0.32046769006687426,0.000359490640287421,0.0017103757042606915,2.009953809966173,0.0017238588929609612,0.028368023124396954,0.11926825473260516,0.0058051152634369385
0.18,0.36066672921195686,0.0004975441140276748,0.002277736166748756,2.012431561589977,0.0019257224810386013,0.032666188569790096,0.13417506193799572,0.006530696705982235
0.2,0.40091520486468035,0.0006667279135113756,0.0029310599381444646,2.0151831729396,0.002124482884869593,0.036985406831649775,0.1490812604657506,0.007256257690562483
0.22,0.44121855327115556,0.0008704849532031226,0.0036707680747776195,2.0182085365575437,0.0023207844770414448,0.04132209899105704,0.16398678269473696,0.007981795944295952
0.24,0.4815821994902161,0.001112328754674101,0.004497210054598799,2.0215075339661155,0.0025150021368279918,0.04567514867085569,0.17889156100689013,0.008707309194372109
0.26,0.5220115561708026,0.001395832629230813,0.005410713028016101,2.0250800356759244,0.002707320228894813,0.05004476355946548,0.19379552778751996,0.00943279516805875
0.28,0.5625120223074196,0.0017246239830001106,0.006411608299205618,2.0289259011951906,0.002897795419599807,0.054431844478960545,0.20869861542561793,0.010158251592709125
0.3,0.6030889819667724,0.002102382195018605,0.007500245188784671,2.033044979039858,0.0030864019418432166,0.05883764299894398,0.2236007563141636,0.010883676195769031
0.32,0.6437478029798405,0.0025328388673962828,0.00867699804876354,2.037437106744515,0.0032730622930625575,0.06326357984922057,0.23850188285043158,0.011609066704783967
0.34,0.6844938355945671,0.0030197795950714593,0.00994226964574807,2.042102110874122,0.0034576671871572825,0.06771115110027966,0.25340192743629775,0.012334420847406224
0.36,0.7253324110849801,0.0035670466828315456,0.011296492667753455,2.0470398070365405,0.003640088104075971,0.0721818811818286,0.2683008224785465,0.013059736351402017
0.38,0.7662688403129164,0.00417854244037702,0.012740130291390095,2.0522499998958645,0.0038201849709348142,0.07667730026319396,0.2831985003891767,0.013785010944658598
0.4,0.80730841223869,0.00485823282451403,0.014273676296653992,2.0577324831865553,0.00399781074949839,0.08119893391932272,0.2980948935857091,0.014510242355191381
0.42,0.8484563923770753,0.005610151287751187,0.015897654975040254,2.063487039728375,0.0041728141111317995,0.08574829875069913,0.3129899344914922,0.01523542831115105
