timestamp,px,py,yaw,v,vx,vy,v_dotomega,a,ax,ay,slip_angle,accel,jerk,steer,steer_vel
1730297268220527466,4.4086761474609375,6.2336344718933105,1.158840537071228,0.26479166666666665,0.0,0.0,-9.894083333333333,-0.007907455787062645,5.368028425543948,0.0,0.0,0.0,-10.0,0.0,0.2597490664741565
1730297268241328490,4.4774041175842285,6.273711681365967,1.1662436723709106,0.27770833333333333,0.0,0.0,-9.888916666666667,0.07718091458082199,0.3158994596704625,0.0,0.0,0.0,-10.0,0.0,0.26192779503024266
1730297268261946602,4.450835227966309,6.251544952392578,1.1681843996047974,0.40875,0.0,0.0,-9.836275246622328,0.12053892016410828,3.6042598638178993,0.0,0.0,0.0,-9.999771510824306,0.0,0.2599520473433664
1730297268278918218,4.448607921600342,6.260034084320068,1.1668444871902466,0.4452083333333333,0.0,0.0,-9.821916666666667,0.125028595328331,6.232810115659682,0.0,0.0,0.0,-10.0,0.0,0.2592263280670737
1730297268300498602,4.4416913986206055,6.268802642822266,1.1633695363998413,0.4479166666666667,0.0,0.0,-9.820833333333333,0.2698363661766052,1.749209082756691,0.0,0.0,0.0,-10.0,0.0,0.24535434548338425
1730297268319601930,4.466829299926758,6.316450119018555,1.1764612197875977,0.478125,0.0,0.0,-9.80875,0.40905869007110596,6.916189206537835,0.0,0.0,0.0,-10.0,0.0,0.24455514198669126
1730297268338843242,4.45493221282959,6.332858085632324,1.1635173559188843,0.64,0.0,0.0,-9.744,0.5283512473106384,6.4411006510895055,0.0,0.0,0.0,-10.0,0.0,0.2397396464190606
1730297268360735914,4.4401984214782715,6.333614826202393,1.1809543371200562,0.64,0.0,0.0,-9.744,0.6211859583854675,6.4196832368718,0.0,0.0,0.0,-10.0,0.0,0.19332396759159123
1730297268379533258,4.447350025177002,6.349592208862305,1.1865761280059814,0.6945833333333333,0.0,0.0,-9.722166666666666,0.6927143335342407,4.278020472657872,0.0,0.0,0.0,-10.0,0.0,0.17012309391579733
1730297268401181930,4.452368259429932,6.3637871742248535,1.208724021911621,0.7679166666666667,0.0,0.0,-9.692355497596859,0.7752811312675476,3.1859223894865742,0.0,0.0,0.0,-9.999507021610667,0.0,0.1421567354280168
1730297268420102346,4.458488941192627,6.3807759284973145,1.2240232229232788,0.916875,0.0,0.0,-9.63301857131496,0.8546696901321411,6.575183699844526,0.0,0.0,0.0,-9.99975976053249,0.0,0.13778583676376335
1730297268441708426,4.439935684204102,6.371939182281494,1.2381964921951294,0.9379166666666666,0.0,0.0,-9.624644607273504,0.8687429428100586,2.889686858751757,0.0,0.0,0.025172305746951215,-9.999803917581435,0.0,0.09201660172550644
1730297268460226442,4.444812774658203,6.3894362449646,1.2643400430679321,0.9914583333333333,0.0,0.0,-9.603416666666666,0.9871384501457214,3.542026150468049,0.0,0.0,0.03153930033878546,-10.0,0.0,0.10602597179359435
1730297268480117162,4.504106044769287,6.404750823974609,1.291348934173584,1.0754166666666667,0.0,0.0,-9.569833333333333,1.010885238647461,3.7591902127310144,0.0,0.0,0.014535077911110795,-10.0,0.0,0.06286642448543656
1730297268502309322,4.515872478485107,6.42891263961792,1.3219021558761597,1.2108333333333334,0.0,0.0,-9.515666666666666,1.0098923444747925,5.654025868594883,0.0,0.0,0.003953323001847615,-10.0,0.0,0.05113018338895043
1730297268522230474,4.521886348724365,6.452786445617676,1.332006573677063,1.246875,0.0,0.0,-9.501037872872987,0.7992126941680908,1.6692811857103076,0.0,0.0,-0.010819947300669689,-9.999776737663977,0.0,0.01575244986900716
1730297268543539466,4.516549110412598,6.492857456207275,1.3400362730026245,1.2945833333333334,0.0,0.0,-9.482166666666668,0.787074625492096,3.538069103954747,0.0,0.0,-0.013076257315013697,-10.0,0.0,0.015383590471732829
1730297268562355946,4.521728515625,6.522332191467285,1.364320158958435,1.3722916666666667,0.0,0.0,-9.451083333333333,0.7676136493682861,3.879620234563978,0.0,0.0,-0.02010198388006489,-10.0,0.0,-0.00746826988733526
1730297268580399498,4.527655601501465,6.551676273345947,1.3800065517425537,1.5058333333333334,0.0,0.0,-9.397113811371375,0.7692180871963501,4.812777625866404,0.0,0.0,-0.02594393028422486,-9.999411710039416,0.0,-0.018394079208288214
1730297268603679818,4.533194541931152,6.586292266845703,1.4051079750061035,1.5839583333333334,0.0,0.0,-9.366416666666668,0.6292070150375366,2.776962598565543,0.0,0.0,-0.042643102523069104,-10.0,0.0,-0.06324444010472831
1730297268620126954,4.538005828857422,6.6147613525390625,1.4175420999526978,1.62375,0.0,0.0,-9.3505,0.5262655019760132,2.814096502236683,0.0,0.0,-0.05495414564391743,-10.0,0.0,-0.10893275585477993
1730297268639003530,4.529230117797852,6.647651195526123,1.403840184211731,1.6708333333333334,0.0,0.0,-9.331666666666667,0.3810088634490967,3.7486948624602494,0.0,0.0,-0.06108509117613184,-10.0,0.0,-0.11001185005544044
1730297268660063178,4.534226894378662,6.684216022491455,1.4308024644851685,1.8260416666666666,0.0,0.0,-9.266263295279591,0.2519839107990265,4.677697952834097,0.0,0.0,-0.058886703433686134,-9.996418352438988,0.0,-0.09523511454670965
1730297268679595306,4.539450645446777,6.721968650817871,1.435840368270874,1.9070833333333332,0.0,0.0,-9.237166666666667,0.10920702666044235,3.9159772050460937,0.0,0.0,-0.06317080296372543,-10.0,0.0,-0.12999929627013515
1730297268698234090,4.544624328613281,6.760404586791992,1.4380735158920288,1.93625,0.0,0.0,-9.2255,0.030431482940912247,3.289681137499919,0.0,0.0,-0.06733059637328448,-10.0,0.0,-0.15516213478054605
1730297268717488970,4.538218975067139,6.78294038772583,1.4237871170043945,1.998125,0.0,0.0,-9.195444782437558,-0.07079137861728668,3.348672567077541,0.0,0.0,-0.060893637307289104,-9.994233929231376,0.0,-0.11327986582666431
1730297268739545674,4.511521339416504,6.828736305236816,1.414833426475525,2.125208333333333,0.0,0.0,-9.149655073810303,-0.31042730808258057,6.670523106751129,0.0,0.0,-0.05774085346363329,-9.999714103564116,0.0,-0.12877032749297504
1730297268759720682,4.518247604370117,6.872625827789307,1.4083247184753418,2.189583333333333,0.0,0.0,-9.12229362575611,-0.3687286972999573,4.4478524816934915,0.0,0.0,-0.047752194084776434,-9.997947164953267,0.0,-0.10098284840003605
1730297268780077578,4.52656364440918,6.918354511260986,1.4008702039718628,2.263541666666667,0.0,0.0,-9.094471484419673,-0.5006836652755737,3.222784917895197,0.0,0.0,-0.04693295026083635,-9.999877015901045,0.0,-0.14458446568171765
1730297268798137578,4.582731246948242,7.015634536743164,1.408471941947937,2.341666666666667,0.0,0.0,-9.061166069341846,-0.6180620789527893,4.144057924410148,0.0,0.0,-0.046898273602418716,-9.997608756169745,0.0,-0.16417973399726077
1730297268818113674,4.555810451507568,7.034788131713867,1.3907924890518188,2.406041666666667,0.0,0.0,-8.909280984020299,-0.6868897676467896,5.3025839714261895,0.0,0.0,-0.049810472012561946,-9.858034670795437,0.0,-0.19985136482199978
