timestamp,px,py,yaw,v,vx,vy,v_dot,omega,a,ax,ay,slip_angle,accel,jerk,steer,steer_vel
1729688811.8416636,-1.1231823631229405,-9.322240093388166,2.4273170969635673,4.46761607887223,4.416064702720701,0.5477027363679408,0.0,-1.720495534751163,0.885827898979187,1.7712878777184744,-7.849254961474361,0.12061551748944872,0.885827898979187,0.0,-0.16698282957077026,0.0
1729688811.8616657,-1.234030590814292,-9.245375907336394,2.3766841277396056,4.52004575190471,4.451537561140576,0.5326433039838019,0.0,-1.5470672935833982,1.8374990197355379,2.0973675133394147,-7.245925516554255,0.11522171328845696,1.8374990197355379,0.0,-0.16156044393913702,0.0
1729688811.8816676,-1.3057731675947584,-9.190869058033309,2.345836785849436,4.56601968759609,4.489927830122679,0.5196560037729654,0.0,-1.462456487932001,2.305366443130542,2.628159279167231,-6.736141391339127,0.10966227238519499,2.305366443130542,0.0,-0.16933191245368912,0.0
1729688811.9016697,-1.376638705380922,-9.132826495967654,2.316495236597757,4.611486193396265,4.538747537748781,0.49955854717519527,0.0,-1.3999458635986515,2.265292103437373,3.02361161285371,-6.384200173177698,0.1042088018178486,2.265292103437373,0.0,-0.1649273048185576,0.0
1729688811.9216719,-1.4459100640953388,-9.071952780779371,2.288496099101994,4.66235989004513,4.586463352397891,0.47964136060813073,0.0,-1.3440780606895002,2.5436683647862983,2.924668703358111,-6.1840010670229635,0.09911147474213285,2.5436683647862983,0.0,-0.16344097467566068,0.0
1729688811.941674,-1.5138269829691446,-9.008161723844175,2.2616306148984076,4.720481414352026,4.639430589447849,0.46126179490362296,0.0,-1.3060745087705625,2.9079200590846557,3.150956739784967,-5.984871250063447,0.09389518689035642,2.9079200590846557,0.0,-0.16857697396694177,0.0
1729688811.961676,-1.5805392015937696,-8.941347507727826,2.2355038743211706,4.774281955694414,4.69969281732584,0.4425089535614035,0.0,-1.3109188901801763,2.689460199214326,3.473091712417115,-5.8648237599337305,0.08901009351466087,2.689460199214326,0.0,-0.17197658417721354,0.0
1729688811.981678,-1.6457530472349007,-8.871857220370307,2.2093342417210224,4.827876329425113,4.755273826874751,0.4243675910373521,0.0,-1.3127408805612104,2.684469556498344,3.2352576269933957,-5.994566059672065,0.08579157478347646,2.684469556498344,0.0,-0.1670371566174077,0.0
1729688812.0016801,-1.7098808585226941,-8.79935970103966,2.183014835369095,4.8906627030497445,4.810259924658899,0.4136572755348975,0.0,-1.2935383467990282,3.132403494155458,3.218077294549265,-6.083818015111721,0.08373124765802333,3.132403494155458,0.0,-0.16518736097803557,0.0
1729688812.0216823,-1.772660007678186,-8.724191606897156,2.157109290998357,4.969534074086222,4.873623170540412,0.4089674202090131,0.0,-1.2847117975096127,3.9388807406311463,3.6514307564374158,-6.042470592799658,0.08111882479018903,3.9388807406311463,0.0,-0.1810157675355406,0.0
1729688812.0416842,-1.8341906780104997,-8.646094075094847,2.1314038474543717,5.047015786782408,4.953231818129403,0.40262159422530225,0.0,-1.2773781226812289,3.8721650551632765,4.443634831982943,-6.0446049447703905,0.0795904438360039,3.8721650551632765,0.0,-0.17584253616017584,0.0
1729688812.0616863,-1.8944872829357136,-8.565127731019626,2.1058512906574673,5.117949044172083,5.03105245280876,0.40126223940671546,0.0,-1.281932918978983,3.546001769131455,4.372260376997248,-6.1185092528498055,0.07893702409823726,3.546001769131455,0.0,-0.17003352910508,0.0
1729688812.0816884,-1.9534894487102732,-8.481403553095415,2.0801937816941134,5.193154343136896,5.102067321302419,0.40356287803739876,0.0,-1.2776260046242889,3.75755077651331,4.052558300604817,-6.261224532295557,0.0789604519366579,3.75755077651331,0.0,-0.16904032361430854,0.0
1729688812.1016905,-2.0111775532470504,-8.394918573211555,2.054615950605201,5.259101390165572,5.177047487912362,0.40965336008141157,0.0,-1.2979753655343977,3.293554286997348,4.269256344047531,-6.317408839943089,0.07929983214076475,3.293554286997348,0.0,-0.1675065927972173,0.0
1729688812.1216924,-2.067165332910444,-8.306225949351491,2.02872870783915,5.312969687716288,5.242422007008981,0.4165968367567639,0.0,-1.3364381683220263,2.701048982162018,3.8266348897985187,-6.54336802423354,0.08043130952296793,2.701048982162018,0.0,-0.163906229482218,0.0
1729688812.1416945,-2.121552508357237,-8.215148512201539,2.0020430758838246,5.371610149103463,5.295706051030178,0.42687197701526386,0.0,-1.3524808219404847,2.936192385299507,3.263200733086169,-6.860547313603409,0.08251344940245975,2.936192385299507,0.0,-0.16265382324138902,0.0
1729688812.1616967,-2.1744631044836904,-8.121363115028066,1.9749286992910895,5.426804791053186,5.353482551739462,0.44279327395851853,0.0,-1.3725934638541104,2.751959363768305,3.5266867774732678,-6.998446170110185,0.08488665647708166,2.751959363768305,0.0,-0.16197574348965946,0.0
1729688812.1816988,-2.2254951728470624,-8.025446669333773,1.9474465196978616,5.467456048625518,5.407303849965573,0.4601634193519337,0.0,-1.3906424494037763,2.0300930588366586,3.3727664332124894,-7.189944938474688,0.08825449731528442,2.0300930588366586,0.0,-0.1495406053284518,0.0
1729688812.2017007,-2.274467252319983,-7.927802641148605,1.9196603410141342,5.498583291349207,5.446131501754618,0.4819121198873394,0.0,-1.4277598436205037,1.558092486449792,2.692877797710515,-7.3951206180939355,0.09156256761479992,1.558092486449792,0.0,-0.1498012501465166,0.0
1729688812.2217028,-2.321094965419725,-7.828878401258217,1.8912640856453813,5.534779782797569,5.475408212654122,0.5026821631304018,0.0,-1.469518697888065,1.8169812954206883,2.2721153782607866,-7.673745101790037,0.0945617629881457,1.8169812954206883,0.0,-0.16017474532109752,0.0
1729688812.241705,-2.3657833263073824,-7.727437704825288,1.8618306501590733,5.572023485967559,5.510106354692577,0.5226673710545822,0.0,-1.4747490008607296,1.8588193742107977,2.578439355413342,-7.925112165436767,0.09871051946553164,1.8588193742107977,0.0,-0.1514812999646311,0.0
1729688812.261707,-2.408295384500419,-7.623916330085141,1.8322098324917009,5.602578154111546,5.544986492898932,0.5492902700119742,0.0,-1.4397726727105788,1.521687300197315,2.655983016132008,-7.995420194598663,0.10377594224292813,1.521687300197315,0.0,-0.1321519723113579,0.0
1729688812.281709,-2.4483504540175764,-7.5191376756799295,1.8033815719191713,5.63978787804835,5.5724492516592825,0.5804452042015475,0.0,-1.3911467268965414,1.8585943795977666,2.3489311421369137,-7.864322138238139,0.10753177392516733,1.8585943795977666,0.0,-0.1328317577898824,0.0
1729688812.301711,-2.486084562851489,-7.41247515509162,1.7754728396117165,5.680832592705821,5.607329970141482,0.6053719842105796,0.0,-1.3209580086505737,2.0457298002488598,2.6911365258062623,-7.599610477646729,0.1104132607002945,2.0457298002488598,0.0,-0.12613241251038854,0.0
1729688812.3217132,-2.5211733271247487,-7.3048227854407175,1.7491389217045106,5.722137788868724,5.646101902315377,0.6259213065116044,0.0,-1.247282894146017,2.0720002887951456,2.859968331050629,-7.233829887370934,0.11205314688781655,2.0720002887951456,0.0,-0.12086273383359789,0.0
1729688812.3417153,-2.553895105380658,-7.1953155504058435,1.7242235205403584,5.771410753521644,5.686199621351903,0.6398372560282427,0.0,-1.1914124493116023,2.4662820549062925,2.8568902921833352,-6.860447526358612,0.11167769110241796,2.4662820549062925,0.0,-0.13011856156566728,0.0
1729688812.3617172,-2.5841893861064507,-7.083693987308232,1.7003471076002923,5.818715403719309,5.735574995534695,0.6431889790250873,0.0,-1.1297550036939044,2.359441086541386,3.218505389927653,-6.556976118307097,0.11105803514612235,2.359441086541386,0.0,-0.12112393614980405,0.0
1729688812.3817194,-2.6119010938246903,-6.97073546019706,1.6777629628111754,5.85556410708548,5.7828495067896055,0.6448829069804674,0.0,-1.0965428768584042,1.8434038145523317,3.073861920763275,-6.2711635699201915,0.10984102274719641,1.8434038145523317,0.0,-0.11581166989593517,0.0
1729688812.4017215,-2.6371051894108066,-6.8562874286496145,1.6558157926854828,5.890793798740832,5.820301569173522,0.6418646064483998,0.0,-1.055363476181954,1.7601821449111783,2.5359772505093368,-6.1799705925655,0.10878346039367662,1.7601821449111783,0.0,-0.1081223426940035,0.0
1729688812.4217236,-2.6597768272261884,-6.740756685951867,1.6347213722981588,5.932655917145104,5.855950618798633,0.6395547568112631,0.0,-0.9852540200206245,2.094224292682291,2.4246941629812047,-5.988674494924726,0.10774652678412315,2.094224292682291,0.0,-0.10008575732888648,0.0
1729688812.4417255,-2.6800123755981247,-6.6240229021352555,1.615043661495722,5.983054309338342,5.898181609780125,0.6379725981225131,0.0,-0.8921427508650485,2.5233686798557624,2.7099406480215342,-5.586140466412645,0.10608164171591558,2.5233686798557624,0.0,-0.0932972474782036,0.0
1729688812.4617276,-2.6979257832558177,-6.505724962034811,1.5972019550209653,6.045663057673059,5.949418072640707,0.6334838383979405,0.0,-0.7525546654259747,3.1306193699489255,3.074425129602735,-5.03908801847341,0.1039373284552856,3.1306193699489255,0.0,-0.07832040283461701,0.0
1729688812.4817297,-2.7136377452565834,-6.385808577976317,1.5821471108731984,6.127080724365321,6.013056568712625,0.6271851289330851,0.0,-0.6064283781525187,4.0698813212541705,3.5864034321739258,-4.19782159391143,0.09958077731704448,4.0698813212541705,0.0,-0.08007928599702824,0.0
1729688812.5017319,-2.7272161997103743,-6.263809891420508,1.5699996060866392,6.227817974600047,6.096877704683744,0.60895186748933,0.0,-0.44273438736867043,5.028949641307513,4.42146129786961,-3.289366210738617,0.09365277032485389,5.028949641307513,0.0,-0.07367477227174132,0.0
1729688812.5217338,-2.7387677142730453,-6.139652588933339,1.5611370572735865,6.345008486719202,6.2006415600943185,0.5822021007214772,0.0,-0.2719230010258656,5.8533091926479335,5.267079274429405,-2.269594135491335,0.08621844851400963,5.8533091926479335,0.0,-0.06541372943266675,0.0
1729688812.541736,-2.7484646687518373,-6.013111917140953,1.555698118657358,6.478746278517299,6.321417824920729,0.5460988693997497,0.0,-0.12691368912607587,6.686145727079982,5.981883360590629,-1.2114294587340688,0.07687006029879288,6.686145727079982,0.0,-0.06698457983061795,0.0
1729688812.561738,-2.75647303182928,-5.88343277874874,1.5531566743757153,6.620673167466009,6.459962924589155,0.49702864525197626,0.0,-0.038538830373974535,7.076933920568907,6.733960811975395,-0.30121637006429824,0.0659977714626522,7.076933920568907,0.0,-0.07514346489252774,0.0
1729688812.5817401,-2.762861296523656,-5.7512564099112025,1.5523861328210993,6.760331630822837,6.6060863539676085,0.43625696175172535,0.0,-0.0158161391502695,6.987103495465769,7.078965886949086,0.2139856456084535,0.05487845905419167,6.987103495465769,0.0,-0.08199717918718337,0.0
1729688812.601742,-2.767772580258598,-5.616483769352581,1.5520704222352135,6.895793484750553,6.74972099932087,0.37059684701637546,0.0,-0.033603956521072675,6.790621283670464,6.982456164142056,0.2768051521700296,0.04496270767225331,6.790621283670464,0.0,-0.08162553628554456,0.0
1729688812.6217442,-2.7713894100331715,-5.478377492713839,1.5513964851890234,7.032757443255718,6.888994403767379,0.30953618923097787,0.0,-0.06932117071702834,6.836847036119725,6.7927948974862575,0.07258319036530583,0.036890635394498994,6.836847036119725,0.0,-0.07848031613500048,0.0
1729688812.6417463,-2.7738453414053383,-5.337636993473955,1.5500087885933291,7.163886735506768,7.028049145392024,0.25911006458656305,0.0,-0.1443796994148655,6.5511026603122815,6.850184141145796,-0.23705953907738572,0.03027967895200842,6.5511026603122815,0.0,-0.08604496201306065,0.0
1729688812.6617484,-2.77519904878576,-5.194612747017949,1.5471280586774985,7.280702460471966,7.160363036126587,0.21676343140869864,0.0,-0.26111198381206807,5.8511199890504555,6.579709870013887,-0.8359468186368777,0.02551565832904549,5.8511199890504555,0.0,-0.09561011164386263,0.0
1729688812.6817503,-2.7754638641606193,-5.048940417391491,1.5419032429283912,7.395744100024874,7.278371423364797,0.18565249878014983,0.0,-0.3662043088648427,5.749794527504135,5.896915073792233,-1.7544921303806944,0.023764541511663028,5.749794527504135,0.0,-0.09219575567465642,0.0
1729688812.7017524,-2.7746994493971187,-4.900800787287393,1.5345665695139434,7.502518823964504,7.393834655301409,0.17572976819247252,0.0,-0.4915579808465015,5.329802810624575,5.812872616737959,-2.5748710413201805,0.02385928603932751,5.329802810624575,0.0,-0.10192595991614041,0.0
1729688812.7217546,-2.7728456076432284,-4.751136682529624,1.524763446222554,7.588758853696302,7.500143785922486,0.17898495983466503,0.0,-0.6384357837215099,4.323972542573857,5.418951674656417,-3.560541562773527,0.025941226971240797,4.323972542573857,0.0,-0.10996642394654195,0.0
1729688812.7417564,-2.769793650588386,-4.59940175341952,1.5119955110398848,7.667901114834314,7.586187515031186,0.1969061628751993,0.0,-0.7613012926806407,3.95732469465122,4.449322098049396,-4.7346422635115175,0.03078706765943976,3.95732469465122,0.0,-0.1071023156331913,0.0
1729688812.7617586,-2.7655005087292617,-4.44628303411037,1.496788247751928,7.739153260266433,7.664136127528969,0.23610066696465054,0.0,-0.881762642656416,3.5673086144816164,4.13615476020878,-5.713756728285924,0.03727388093774211,3.5673086144816164,0.0,-0.11244564372084288,0.0
1729688812.7817607,-2.7598204525453176,-4.291783117764575,1.4791745943960983,7.7906197957022645,7.733659707530219,0.2884425989545292,0.0,-1.0234857255737275,2.5768386721710965,3.822173524005741,-6.688833943390652,0.044976542266694786,2.5768386721710965,0.0,-0.12064857264129328,0.0
1729688812.8017628,-2.752518647262693,-4.135477629406063,1.4586114336447313,7.822520844079216,7.782832791850711,0.3506516966953973,0.0,-1.1822982007915481,1.5861421719556084,2.9317163117508236,-7.858333671826726,0.05434430427644014,1.5861421719556084,0.0,-0.1263377831098933,0.0
1729688812.8217647,-2.7434514460599466,-3.9789473905584005,1.4349098313204935,7.852081576826202,7.81090855545638,0.4251277948345697,0.0,-1.3023655397656055,1.4755961729833738,2.0878893756834804,-9.15485124139605,0.0659859332428787,1.4755961729833738,0.0,-0.12347899432094431,0.0
1729688812.8417668,-2.732487146663787,-3.8223723763123987,1.4088761727676928,7.878191780419326,7.834804747757969,0.5178049181024694,0.0,-1.4088195812760866,1.3064381154203213,2.148154262316101,-10.104466338741982,0.07863861080224843,1.3064381154203213,0.0,-0.1261991000589749,0.0
1729688812.861769,-2.7193881650009706,-3.6654566829560626,1.3807181525569956,7.8844493244023495,7.853686287214931,0.6188694508403342,0.0,-1.5085986095810429,0.31339036728257685,2.178386799874146,-10.96445250449092,0.09238008921325165,0.31339036728257685,0.0,-0.11935477900440174,0.0
1729688812.881771,-2.703989050814383,-3.5083491894900924,1.3505118850823146,7.871023406255961,7.850592063492627,0.7274288650358018,0.0,-1.5862542142975378,-0.671109466752318,1.4106891482166737,-11.818640430457794,0.10738744869238345,-0.671109466752318,0.0,-0.1047579375713159,0.0
1729688812.901773,-2.686250827143686,-3.3518859280175684,1.318776426863302,7.837922465307238,7.825463345889682,0.8435538648821508,0.0,-1.6569987472736827,-1.6546829598596782,0.6734906397621869,-12.488190936645026,0.12297532148977722,-1.6546829598596782,0.0,-0.09310683155108147,0.0
1729688812.921775,-2.6661490864920583,-3.196920753338559,1.2857418944266834,7.785187898745954,7.778677865688073,0.9608613570496631,0.0,-1.7448376678053155,-2.6434112070204083,-0.04495536844651127,-13.093642743209834,0.13865396290426957,-2.6434112070204083,0.0,-0.08597365432774885,0.0
1729688812.9417772,-2.6434276250162854,-3.042796692315078,1.2508235777625172,7.719391995761764,7.710234648631703,1.0757895277793523,0.0,-1.8364452932356872,-3.287925566791978,-0.7375994716830772,-13.82050308374988,0.15482321223191486,-3.287925566791978,0.0,-0.07969831702336484,0.0
1729688812.9617794,-2.617968607282322,-2.8900312588069292,1.2139752268181356,7.639995254837863,7.626546184319839,1.1904213230662577,0.0,-1.9143508575953443,-3.958837068997022,-1.0609306134133623,-14.514530015706157,0.17192413121044708,-3.958837068997022,0.0,-0.0661293363818572,0.0
1729688812.9817812,-2.589911354299054,-2.739963562483923,1.175720178872246,7.540931813470181,7.527242206105941,1.3065247789623506,0.0,-2.01477275084972,-4.956799828515268,-1.395200850650191,-15.088026799090484,0.18937262676834546,-4.956799828515268,0.0,-0.055235555847618446,0.0
1729688813.0017834,-2.559128799654489,-2.5923759056834803,1.1354375383255113,7.421785675607069,7.405957194333452,1.4189597078020888,0.0,-2.1431196162505866,-5.958991641523645,-2.004956718462415,-15.854738158760119,0.2076747992620655,-5.958991641523645,0.0,-0.04431496792672258,0.0
1729688813.0217855,-2.525620624970906,-2.4476976534290857,1.092550586211513,7.286845706094645,7.262032815736564,1.529664794242967,0.0,-2.3125765084555616,-6.743421345555635,-2.5478919635734063,-16.791777065038225,0.22682241145809923,-6.743421345555635,0.0,-0.039701687309464946,0.0
1729688813.0417876,-2.489450325329766,-2.306797484430884,1.046384698414334,7.136373251772757,7.100316806606962,1.6377501608113554,0.0,-2.4931919658526556,-7.536120275551344,-2.7768329477820943,-17.928178886163092,0.24810695058662752,-7.536120275551344,0.0,-0.026821105080188208,0.0
1729688813.0617895,-2.4505054098116896,-2.1693848124918267,0.996481213379801,6.965536521862546,6.917467418255137,1.7515550887565552,0.0,-2.662140388073565,-8.535662894979527,-2.9318561845706608,-19.09556305049229,0.2726147045678077,-8.535662894979527,0.0,-0.0018773411912617177,0.0
1729688813.0817916,-2.4091155476851647,-2.036308993408633,0.9432126255725208,6.791327120826155,6.707949497320414,1.87425523242973,0.0,-2.790268077689956,-8.706232470590601,-3.2235601009818855,-20.1532149169158,0.2986905205561906,-8.706232470590601,0.0,0.015281798904806809,0.0
1729688813.1017938,-2.3652215318239858,-1.9076283742688707,0.8873446063025959,6.623345329505987,6.490154521598431,1.9973834378762865,0.0,-2.8409491713126305,-8.389790238784954,-2.744275533030025,-20.663067604586526,0.3250817200290608,-8.389790238784954,0.0,0.0331719579196432,0.0
1729688813.121796,-2.318799525758917,-1.7836119689111989,0.8305394247180663,6.464815153897467,6.2763014026974275,2.114145779143208,0.0,-2.7725283358190302,-7.928537023052636,-1.9432793529912376,-20.508982376291353,0.35043492332285875,-7.928537023052636,0.0,0.05888783877130211,0.0
1729688813.1417978,-2.26979106526695,-1.6642508162791985,0.7751939357582962,6.325093168513771,6.072149917393866,2.2182022437213895,0.0,-2.554802583333788,-7.000712703772314,-1.3023816134054949,-19.56100865488864,0.37176818536802114,-7.000712703772314,0.0,0.08309221488234819,0.0
1729688813.1618,-2.2176251299314864,-1.548590103574467,0.7239441172609715,6.204782589924779,5.8924467144173045,2.297210419109612,0.0,-2.1957804652544595,-5.994795622174125,-0.6584129413199492,-17.59829802463257,0.3862430086093282,-5.994795622174125,0.0,0.10582506782886009,0.0
1729688813.181802,-2.162509202304504,-1.437467674950991,0.6800393172346128,6.104931528237599,5.747745773648606,2.3371029930218596,0.0,-1.710038726711704,-4.994049014044406,-0.4243151308243685,-14.89077573288617,0.39166913005922027,-4.994049014044406,0.0,0.12871645446815722,0.0
1729688813.2018042,-2.1041547973065273,-1.330377211504832,0.6458666989891767,6.025121069595726,5.642712650080682,2.330461300070658,0.0,-1.17473789066218,-3.994909629502704,-0.6262612636796892,-11.570380486483351,0.3854167759126336,-3.994909629502704,0.0,0.134499593018156,0.0
1729688813.221806,-2.0423514403624163,-1.2271256344344459,0.6223936052451223,5.965276969999582,5.5829748798710295,2.265392328806174,0.0,-0.6236018252428306,-2.9963427859008984,-1.0261299952074605,-8.072065001890675,0.3676976913210978,-2.9963427859008984,0.0,0.13342547929441367,0.0
1729688813.2418082,-1.977066355726062,-1.1276045445229292,0.6099365359583236,5.925389497230006,5.56608859520284,2.144763281962481,0.0,-0.11811179887942044,-1.9998119289321976,-1.4352004621796035,-4.560921747412454,0.33898811296234943,-1.9998119289321976,0.0,0.11678177096916544,0.0
1729688813.2618103,-1.9082052821621547,-1.031509044160743,0.6075699897777277,5.9053861384444355,5.587166409629962,1.9707891145865521,0.0,0.2623990524386031,-1.0035147095620385,-1.6275433324028845,-1.3348940283432806,0.30049548169233603,-1.0035147095620385,0.0,0.07742573287104221,0.0
1729688813.2818124,-1.8354201237970578,-0.9382567178236065,0.6128330002952563,5.905327152830668,5.639591868165919,1.747238667500316,0.0,0.5522213196703973,-0.0020285007619217366,-1.3935718579285157,1.1818016244995986,0.2570158840289261,-0.0020285007619217366,0.0,0.047065619523591895,0.0
1729688813.3018143,-1.758886025496715,-0.847584951156621,0.6239424535803796,5.911246234488801,5.710333276680903,1.4994235819602202,0.0,0.6863215603258239,0.2936286122074796,-0.8081639575930801,3.15529687448434,0.21139661235463283,0.2936286122074796,0.0,0.014037711572404035,0.0
1729688813.3218164,-1.6795374215788408,-0.7598888482825102,0.637675539741451,5.904413908172691,5.778147860981147,1.2398454290592409,0.0,0.6180422567871745,-0.341671737575867,-0.5638883281209652,4.031676057051587,0.1674031030937592,-0.341671737575867,0.0,-0.019565489596603407,0.0
1729688813.3418186,-1.5978949050316018,-0.6749595232443526,0.650011358547508,5.894628470348741,5.820513510161413,0.9843125954864853,0.0,0.4539319573596595,-0.49102565643234125,-0.9541075364297836,3.5508024750969005,0.1292902040324427,-0.49102565643234125,0.0,-0.042948909627522985,0.0
