timestamp,px,py,yaw,v,vx,vy,omega,a,ax,ay,slip_angle,accel,jerk,steer,steer_vel
1729161602769223301,-2.2099670260736746,-1.7209387521337898,0.9131443446407482,6.1287083601854535,5.956394158379202,1.477894936246278,-1.8599979165547142,-8.294557571411133,-5.307166543222146,-13.053802234859013,0.243638552531434,-8.294557571411133,0.0,0.01240047812461853,0.0
1729161602794750613,-2.1468889221696656,-1.5839431797055035,0.8662517803395976,5.935218872537446,5.753376516347362,1.4875711740919404,-1.8587529582541278,-7.357112407684326,-4.354757510981742,-12.547728968848276,0.25332958478890216,-7.357112407684326,0.0,0.015155836939811707,0.0
1729161602819392696,-2.0807644684606594,-1.4535614728283155,0.8217881790031337,5.7546091037653175,5.568611538572638,1.4781911388690112,-1.6826589061374118,-6.85629234313965,-4.22918921909376,-11.181047769374695,0.25952570684838155,-6.85629234313965,0.0,0.022272283971309658,0.0
1729161602844368440,-2.0115444113005116,-1.329679873266324,0.7811402620526431,5.596417498960325,5.416345966890269,1.4302640379122462,-1.5376581559681533,-5.587396717071536,-3.2848604198198545,-9.836564014111605,0.2580094307222237,-5.587396717071536,0.0,0.02074805647134781,0.0
1729161602869772427,-1.9389800491176905,-1.211947368339257,0.7456348568119128,5.468819430246186,5.302848113249898,1.3553028346452043,-1.2961451290395225,-4.483401298522949,-2.5734907046547963,-8.036715054435371,0.24974855494724668,-4.483401298522949,0.0,0.007174076046794653,0.0
1729161602894673599,-1.8628627053309654,-1.0998884681784498,0.7163281008615343,5.37116382826788,5.226349290378656,1.2538667371551235,-1.0247104536210023,-3.4904582500457764,-2.0953368268992927,-6.227969867729975,0.23475402665634104,-3.4904582500457764,0.0,0.0034207687713205814,0.0
1729161602919916648,-1.7831094393783153,-0.9929680933498694,0.6934726733053336,5.30383938993437,5.184085066159691,1.130106253240147,-0.788307530229753,-1.9949569702148433,-1.1423297965519885,-4.595638502156888,0.21375248262729693,-1.9949569702148433,0.0,-0.009630808606743813,0.0
1729161602944325736,-1.6996993601260975,-0.8904983022485998,0.6774060626749291,5.269826036586595,5.175325116136012,0.996703254422295,-0.5126292940905607,-0.6015964508056637,-0.16943775650352977,-2.8301481230215013,0.18918141762154345,-0.6015964508056637,0.0,-0.030544763430953026,0.0
1729161602969396639,-1.6126327529770057,-0.7917746577601928,0.6666885311861793,5.266680180325341,5.196624931936972,0.8532643471505913,-0.36715776454201365,0.4698987901210785,0.7799213992689469,-1.8498055776576705,0.1616381044879765,0.4698987901210785,0.0,-0.05622665211558342,0.0
1729161602994343015,-1.5218062767695704,-0.6961423958018296,0.6580494407269051,5.290261995585994,5.24009859621291,0.7178458942200819,-0.33690823129158687,1.2227609157562256,1.4532814957036648,-1.599379305122821,0.1351588615574862,1.2227609157562256,0.0,-0.07432081550359726,0.0
1729161603019272234,-1.427412371498737,-0.6032536940709278,0.6476964989215439,5.300489589335757,5.266482176708957,0.6009344702994226,-0.5340628088059796,-0.16666769385337832,0.24683805038447404,-2.7512995229334454,0.1128395889670316,-0.16666769385337832,0.0,-0.11488394922018053,0.0
1729161603044285020,-1.3301697115295505,-0.5135426837910125,0.6298664747443675,5.27976122364624,5.255220086175118,0.521953629999483,-0.9209516592753505,-1.3157258033752441,-0.8382033002920204,-4.8730504891990085,0.09859295766710366,-1.3157258033752441,0.0,-0.14329186081886292,0.0
1729161603069436834,-1.2306727593738351,-0.42748566100741714,0.6020725655644912,5.2378200427017925,5.216626190616984,0.49486031011259596,-1.2960974801186615,-2.2253329753875732,-1.5804301344770515,-6.903630105819083,0.09460742658728537,-2.2253329753875732,0.0,-0.13424359261989594,0.0
1729161603094309675,-1.129574004317651,-0.345474227295727,0.56602610359302,5.169700899358823,5.147638865994317,0.5089120674571257,-1.593332683538746,-3.033134698867798,-2.2128764717994374,-8.446469301295858,0.09882638806757298,-3.033134698867798,0.0,-0.13365647196769714,0.0
1729161603119206803,-1.0274865914952218,-0.26799496706465453,0.5232614783909032,5.074656881757814,5.049347828604604,0.5478303988562662,-1.8356460973101723,-4.322507858276367,-3.2185349124192184,-9.678083106386305,0.10853002453322615,-4.322507858276367,0.0,-0.12840178608894348,0.0
1729161603144205855,-0.9249305572305156,-0.19555245383542988,0.4749711972495452,4.966162521310886,4.934290208450625,0.5991480298771771,-2.0064813446564815,-4.3704705238342285,-3.1386657795525212,-10.408913647254428,0.1213858713645524,-4.3704705238342285,0.0,-0.11823870986700058,0.0
1729161603169474642,-0.8221099501367005,-0.12839934678074222,0.42389280723260897,4.849397465177621,4.8109679718157885,0.6506726293711832,-2.0807211391469713,-5.372117042541504,-3.9722260744980282,-10.712204070688317,0.13497443432699982,-5.372117042541504,0.0,-0.10810713469982147,0.0
1729161603194241421,-0.7194613372471572,-0.06689105845330667,0.3710397246969184,4.721172825857241,4.675323564864491,0.6916213611829176,-2.1393439741813767,-5.02972412109375,-3.49698331980931,-10.731256815237906,0.14731105119901536,-5.02972412109375,0.0,-0.11007744073867798,0.0
1729161603219707298,-0.6172681318048977,-0.011261883515994952,0.3176478146469738,4.577175025030213,4.525994165180939,0.7238742269047818,-2.1238542880313305,-6.340773963928221,-4.622768047500566,-10.612430400363392,0.15908562639451995,-6.340773963928221,0.0,-0.07401395851373671,0.0
1729161603244292297,-0.5163148574874912,0.03836564675370926,0.2656642364153118,4.419898706480109,4.36304701996937,0.7406851273058942,-2.04189407492613,-5.572314357757572,-4.077317949388185,-9.873470673554792,0.16836457293567192,-5.572314357757572,0.0,-0.08184032142162323,0.0
