time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/07/19/14:08:28.482639,4.393866215427081,-2.849341071613925,-1.4641271686072153,5.9401790815064395,0.6618390267732389,-1.2021794090508338,-0.12999999999999995,-3.2135071754455566
2024/07/19/14:08:28.507647,4.426128971998547,-2.9952398843215327,-1.494181653833486,5.84381830663399,0.6401553673569481,-1.4833884330685485,-0.059999999999999956,-3.92636775970459
2024/07/19/14:08:28.532651,4.453268018030711,-3.1396818423532302,-1.5312663646601996,5.737282309994465,0.6912653051166904,-1.2666315289074632,-0.12999999999999995,-4.0
2024/07/19/14:08:28.557747,4.476204537411149,-3.2823188855620566,-1.5629321528828861,5.639929812582169,0.6630931059115174,-1.5036065297705392,-0.059999999999999956,-4.0
2024/07/19/14:08:28.582710,4.493890175740368,-3.4231824052206727,-1.6005223161271496,5.534567055949291,0.7009372243563233,-1.2596386839108358,-0.12999999999999995,-4.0
2024/07/19/14:08:28.607703,4.507293458440776,-3.562006279045234,-1.6320132832249206,5.439316644910626,0.659361573627664,-1.4779098751739819,-0.059999999999999956,-3.985643148422241
2024/07/19/14:08:28.632688,4.515427358442854,-3.6987429482345657,-1.66896103010427,5.335721361413627,0.6824920314563067,-1.2232336032254696,-0.12999999999999995,-3.9976887702941895
2024/07/19/14:08:28.657743,4.519334049104077,-3.8331660169592343,-1.6995418701849068,5.241679609059574,0.628716280419716,-1.4372192591106505,-0.059999999999999956,-3.9976887702941895
2024/07/19/14:08:28.682734,4.518097367186929,-3.9651414935491887,-1.735472351662673,5.139876462686049,0.6408209272050821,-1.1776938687276661,-0.12999999999999995,-3.983232259750366
2024/07/19/14:08:28.707777,4.512836305255198,-4.094526325243679,-1.7649146983808648,5.046821562382811,0.5786587700468535,-1.3948922845117637,-0.059999999999999956,-3.9913132190704346
2024/07/19/14:08:28.732711,4.5026925756716984,-4.221117748370661,-1.7997870054936589,4.945801679435492,0.5842349291191588,-1.1314812760890542,-0.12999999999999995,-3.9879186153411865
2024/07/19/14:08:28.757782,4.48885041228087,-4.3448506156820805,-1.8280740373958853,4.852861559488646,0.5174244773725037,-1.3553836478594803,-0.19999999999999996,-3.992842435836792
2024/07/19/14:08:28.782771,4.4704901434963595,-4.465470458197739,-1.8619586285923722,4.758763461658014,0.45530082790631954,-1.8363575961273013,-0.12999999999999995,-3.9949429035186768
2024/07/19/14:08:28.807779,4.4472416277132085,-4.582699771271818,-1.9078675684955546,4.655092955014671,0.4872145285979432,-1.7689204858555674,-0.19999999999999996,-3.9989795684814453
2024/07/19/14:08:28.832774,4.420247729447997,-4.6965565770275015,-1.9520905806419437,4.556761258265635,0.4659305008856988,-2.0682842267254773,-0.12999999999999995,-4.0
2024/07/19/14:08:28.857909,4.388667670291208,-4.806628951452048,-2.003797686310081,4.45168232687767,0.5075281635863179,-1.8653198595664042,-0.19999999999999996,-4.0
2024/07/19/14:08:28.882788,4.353487066383796,-4.912973851865172,-2.050430682799241,4.354360175270615,0.47851676326907366,-2.0838276832825136,-0.12999999999999995,-3.997833728790283
2024/07/19/14:08:28.907783,4.3138666217555945,-5.015069956763492,-2.102526374881304,4.251183163512858,0.5037162498969681,-1.8322753445126445,-0.19999999999999996,-3.9861128330230713
2024/07/19/14:08:28.932800,4.270834406812626,-5.113060561904715,-2.14833325849412,4.155948314435087,0.45781641852607646,-2.024964242478976,-0.26999999999999996,-3.993311643600464
