time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/08/01/14:41:29.932194,-1.3047729555123009,-5.050660111250095,-0.3965353103867891,10.619699458560751,-5.587663501844442,1.2931001940174218,0.41,4.34180212020874
2024/08/01/14:41:29.957197,-1.1138338027410666,-5.282052072949293,-0.3642078055363535,10.650840994886538,-5.528072548514929,1.3300107008945317,0.33999999999999997,4.338298320770264
2024/08/01/14:41:29.982166,-0.9142572492589445,-5.506036892301403,-0.3309575380139902,10.674445996468798,-5.482353752583945,1.4143045632571378,0.41,4.335082530975342
2024/08/01/14:41:30.007298,-0.7064153200817433,-5.722373972978525,-0.29559992393256174,10.687520307600273,-5.456822305575998,1.4682340339453983,0.33999999999999997,4.33217191696167
2024/08/01/14:41:30.032189,-0.4905571032348359,-5.930713192089266,-0.25889407308392676,10.69136097416835,-5.449293579908315,1.5601203351725275,0.41,4.3295722007751465
2024/08/01/14:41:30.057081,-0.26705773103477226,-6.130833232630381,-0.21989106470461356,10.684300096498642,-5.463124696358223,1.6152107987932018,0.33999999999999997,4.3272929191589355
2024/08/01/14:41:30.082082,-0.03617272368875468,-6.322385088227839,-0.1795107947347835,10.668229737117404,-5.494440305989674,1.6998250380475006,0.41,4.325347423553467
2024/08/01/14:41:30.107474,0.20172179948822744,-6.505158707337371,-0.137015168783596,10.642435114274088,-5.544237985374176,1.7403079817116156,0.33999999999999997,4.3237409591674805
2024/08/01/14:41:30.132195,0.44635742786634214,-6.678806077971207,-0.0935074692408056,10.60969586895676,-5.606634781064475,1.8051281495171816,0.41,4.322480201721191
2024/08/01/14:41:30.157229,0.6973536121167172,-6.84312563095183,-0.04837926550287605,10.569767945600752,-5.6815495752612115,1.81942158450934,0.33999999999999997,4.321577072143555
2024/08/01/14:41:30.182056,0.9544195826587077,-6.997777132041553,-0.0028937258901425497,10.526501405410858,-5.761316530263134,1.8571202016229968,0.41,4.3210320472717285
2024/08/01/14:41:30.207060,1.2171642247908836,-7.142570961436437,0.04353427915043238,10.479585038143373,-5.846220781694918,1.8400304364804991,0.33999999999999997,4.320847988128662
2024/08/01/14:41:30.232031,1.485266389752837,-7.277186076273938,0.08953504006244487,10.433906277887884,-5.927360271170617,1.8492672678244155,0.41,4.3210296630859375
2024/08/01/14:41:30.257010,1.7583191406459178,-7.401452705864191,0.13576672175805526,10.388547838971311,-6.006502626104854,1.80197798848728,0.33999999999999997,4.321577548980713
2024/08/01/14:41:30.282070,2.0359674171709936,-7.5150811993975255,0.18081617147023726,10.34914994878389,-6.074133299293525,1.7865443843531665,0.41,4.322492599487305
2024/08/01/14:41:30.307270,2.3177863390625033,-7.617931066990572,0.22547978107906644,10.313736446064075,-6.134072099440109,1.7152138402689459,0.33999999999999997,4.323775768280029
2024/08/01/14:41:30.332041,2.6033884273441075,-7.709753978996164,0.2683601270857901,10.288231573602058,-6.176754089968105,1.6824870383639334,0.41,4.325425148010254
2024/08/01/14:41:30.357010,2.892332305341504,-7.790447444455429,0.31042230304488844,10.26932773874524,-6.2081323918097615,1.5964798156338689,0.33999999999999997,4.327432632446289
2024/08/01/14:41:30.381991,3.1842033724403134,-7.859810836749943,0.35033429843573516,10.262706596063445,-6.2190717412742424,1.5559184389280716,0.41,4.329797744750977
2024/08/01/14:41:30.407088,3.4785480851168953,-7.917786608580427,0.38923225940893696,10.263698298039321,-6.217434941101093,1.4662580998941213,0.33999999999999997,4.332516193389893
2024/08/01/14:41:30.432022,3.7749321270301817,-7.964224736225103,0.42588871190629,10.277285416892923,-6.194949915836293,1.4281744349677776,0.41,4.335577011108398
2024/08/01/14:41:30.457021,4.07289604619568,-7.999117470075237,0.46159307278048445,10.297661076700443,-6.161020723014056,1.3462766345643256,0.33999999999999997,4.338977813720703
2024/08/01/14:41:30.482021,4.37199392151638,-8.022365286717735,0.4952499886445926,10.32881958661085,-6.108640269916382,1.3207436006404727,0.41,4.342702865600586
2024/08/01/14:41:30.507056,4.671767730621693,-8.03401274886585,0.5282685786606044,10.364269142327558,-6.048299359770217,1.2571735998702194,0.33999999999999997,4.346745014190674
2024/08/01/14:41:30.532010,4.971767730583648,-8.03400797108923,0.5596979186573598,10.406947138854974,-5.974567034445112,1.2527817603653248,0.41,4.351088523864746
2024/08/01/14:41:30.557039,5.271544904004885,-8.022447421985772,0.591017462666493,10.450283320915055,-5.898438650406106,1.2157399825749904,0.33999999999999997,4.355720043182373
2024/08/01/14:41:30.581998,5.570652200714823,-7.999321137051249,0.6214109622308678,10.49630830778845,-5.816142356222996,1.238031832906367,0.41,4.360635280609131
2024/08/01/14:41:30.607086,5.868656312089745,-7.9647733498045445,0.6523617580535269,10.53901319800619,-5.738397059480228,1.231524426304422,0.33999999999999997,4.365801811218262
2024/08/01/14:41:30.632003,6.165117064766419,-7.918827489029286,0.6831498687111375,10.579829029684282,-5.662792394450792,1.2813118203002065,0.41,4.3712005615234375
2024/08/01/14:41:30.657254,6.459621248413204,-7.861667312205376,0.7151826642186426,10.613825968326205,-5.598812223506366,1.3034798845962072,0.33999999999999997,4.376822471618652
2024/08/01/14:41:30.682203,6.751736448679359,-7.793339354724821,0.7477696613335478,10.642202256495857,-5.544684944325919,1.3757687821077906,0.41,4.3826422691345215
2024/08/01/14:41:30.707218,7.041070325244923,-7.714055637155936,0.7821638808862426,10.661369378692747,-5.507740278106133,1.4183476294683108,0.33999999999999997,4.388643741607666
2024/08/01/14:41:30.732120,7.327195663414535,-7.623876421937987,0.8176225716229504,10.672642981888583,-5.485862902146241,1.502815323808385,0.41,4.3947858810424805
2024/08/01/14:41:30.757111,7.609737944241484,-7.523030700436746,0.85519295471816,10.67374162827443,-5.48372497968685,1.5526002245958537,0.33999999999999997,4.401045799255371
2024/08/01/14:41:30.782198,7.8882706011194035,-7.411587625046091,0.8940079603330564,10.666414527873394,-5.497963361061203,1.6360024738877208,0.41,4.407422065734863
2024/08/01/14:41:30.807208,8.162431666673726,-7.2897856951183675,0.9349080221802495,10.649417890237174,-5.530813556710839,1.67820762354316,0.33999999999999997,4.413863658905029
2024/08/01/14:41:30.832183,8.431791517851702,-7.157705149338987,0.9768632127688285,10.625220644795766,-5.577157542100263,1.7479225811437542,0.41,4.42033052444458
2024/08/01/14:41:30.857211,8.695996146498528,-7.015592819819017,1.0205612772974224,10.593206959597868,-5.637727051846985,1.7700895785351867,0.33999999999999997,4.426815032958984
2024/08/01/14:41:30.882235,8.95461275535294,-6.863548584069535,1.0648135167608022,10.556778734394147,-5.705648320133612,1.8172446157652502,0.41,4.433274745941162
2024/08/01/14:41:30.907218,9.207293960591011,-6.701832139267418,1.1102446321549335,10.5154652450688,-5.781435001775093,1.8120303081608593,0.33999999999999997,4.439679145812988
2024/08/01/14:41:30.932100,9.45360823420406,-6.530574209189782,1.155545389858955,10.473652836386227,-5.856841833519045,1.8330391718315011,0.41,4.445980072021484
2024/08/01/14:41:30.957208,9.693217613456255,-6.350054555483107,1.2013713691547425,10.430510312506776,-5.9333341908820385,1.7990650192092947,0.33999999999999997,4.452145099639893
2024/08/01/14:41:30.982142,9.925699698150144,-6.160444217430605,1.246347994634975,10.391237937627876,-6.001847559177352,1.7954747443276384,0.41,4.4581379890441895
2024/08/01/14:41:31.007164,10.150732003634193,-5.9620495060884595,1.2912348632431658,10.354185658157375,-6.065545264558507,1.7365679202137019,0.33999999999999997,4.4639129638671875
2024/08/01/14:41:31.032041,10.367910337713667,-5.75508677706107,1.3346490612485085,10.324999431900146,-6.115094989553448,1.7138958010730498,0.41,4.469432353973389
2024/08/01/14:41:31.057009,10.576935391794297,-5.539892616437253,1.3774964562753347,10.300885554500303,-6.155628058377716,1.6375920806095128,0.33999999999999997,4.47464656829834
2024/08/01/14:41:31.082011,10.777429560910665,-5.31672880182938,1.4184362582905725,10.28746555743365,-6.17802981577593,1.6039104939850057,0.41,4.479513168334961
2024/08/01/14:41:31.107008,10.96912463912499,-5.085962692991008,1.4585340206401978,10.28068099239694,-6.189313235938885,1.5199226902198957,0.33999999999999997,4.483985424041748
2024/08/01/14:41:31.132005,11.151676214723311,-4.847897739151578,1.4965320878956951,10.285675428791905,-6.181009705019599,1.4845945950952588,0.41,4.4880146980285645
2024/08/01/14:41:31.157014,11.324854434000533,-4.602929773147918,1.5336469527730765,10.297239118225908,-6.161725938572577,1.403501715886553,0.33999999999999997,4.491549491882324
2024/08/01/14:41:31.182010,11.48835249919724,-4.351397702276363,1.5687344956702403,10.319702681317096,-6.124029438957389,1.3760840202710893,0.41,4.494541168212891
2024/08/01/14:41:31.207001,11.641984846472127,-4.093721351264461,1.6031365961770174,10.34704166808774,-6.0777239752111205,1.3081336940279908,0.33999999999999997,4.496934413909912
2024/08/01/14:41:31.232008,11.785484299979123,-3.8302675472623284,1.6358399385277171,10.382623702719512,-6.0167370764997665,1.297251361566195,0.41,4.498677730560303
2024/08/01/14:41:31.256994,11.91871347190666,-3.5614739689396635,1.668271222566872,10.42011781970669,-5.951566568848161,1.2510308705667192,0.33999999999999997,4.4997148513793945
2024/08/01/14:41:31.282013,12.04144404022691,-3.2877273569062204,1.6995469943310402,10.461983574557237,-5.877661072713753,1.2630312322139736,0.41,4.499990463256836
2024/08/01/14:41:31.307124,12.153587617936305,-3.009475999356006,1.7311227751363896,10.502169089932591,-5.805552894123387,1.2438809130654787,0.33999999999999997,4.499445915222168
2024/08/01/14:41:31.332480,12.254950785025404,-2.7271189410810845,1.7622197979630265,10.542452284666854,-5.732076397390618,1.2813179310418703,0.41,4.49802303314209
2024/08/01/14:41:31.357317,12.345490933244312,-2.44110760990608,1.7942527462390734,10.577592062027517,-5.666969751933786,1.2897267019345258,0.33999999999999997,4.49565315246582
2024/08/01/14:41:31.382434,12.425042540319469,-2.1518472742017876,1.8264959137874366,10.60900597421396,-5.60794010658927,1.3501404525512555,0.41,4.492289066314697
2024/08/01/14:41:31.407157,12.49360135392302,-1.8597861691616375,1.860249425101218,10.632608318271359,-5.563060340336667,1.380822674739314,0.33999999999999997,4.487860202789307
2024/08/01/14:41:31.432287,12.55102116203866,-1.5653324960041046,1.894769991969701,10.649792165579605,-5.530092840989132,1.4565969492853026,0.41,4.4823126792907715
2024/08/01/14:41:31.457295,12.597326004336011,-1.2689276013417232,1.9311849157018335,10.657709876360155,-5.514818237379652,1.4990944207016546,0.33999999999999997,4.475578784942627
2024/08/01/14:41:31.482319,12.63238183636046,-0.9709828268598177,1.9686622762193748,10.658040210859145,-5.514179799726298,1.5789618163709782,0.41,4.467619895935059
