time,.x,.y,.phi,.vx,.vy,.omega,.steer,.throttle
2024/08/01/10:49:41.782085,656.5670780633451,-778.0255261196521,2.494360349720809,1.9046772438390127,11.096526496326563,0.27092817768035204,0.26999999999999996,0.11527048796415329
2024/08/01/10:49:41.807130,656.3618165812248,-778.2181219627073,2.501133554162818,2.4865508157064813,11.047093673058214,0.5913678576013084,0.33999999999999997,2.587015151977539
2024/08/01/10:49:41.832099,656.1469388013476,-778.402420085874,2.515917750602851,3.1640594920212624,10.981521191237574,0.9922098443166208,0.26999999999999996,4.191093444824219
2024/08/01/10:49:41.857120,655.9220399864636,-778.578626493683,2.5407229967107665,3.949279751501103,10.841295441061163,1.3366174799354817,0.19999999999999996,4.398440837860107
2024/08/01/10:49:41.882216,655.6873705935412,-778.7463668790945,2.5741384337091535,4.804565137463137,10.576792147194519,1.6382896777144422,0.12999999999999995,3.1472623348236084
2024/08/01/10:49:41.907085,655.4439594995855,-778.9047849202622,2.6150956756520145,5.688608900098522,10.153540119227571,1.9082723850395704,0.059999999999999956,0.8639196157455444
2024/08/01/10:49:41.932097,655.1934482742033,-779.0527824914058,2.6628024852780037,6.562839361344574,9.560145910139868,2.153920460187454,-0.010000000000000037,-1.6998822689056396
2024/08/01/10:49:41.957072,654.9377162401415,-779.1893224423208,2.71665049678269,7.39870686373406,8.808414969380355,2.3768793207296497,-0.08000000000000003,-3.702623128890991
2024/08/01/10:49:41.982088,654.6784134067991,-779.3136916068099,2.7760724798009315,8.181339646875031,7.925909020912141,2.5696625876090473,-0.010000000000000037,-4.498364448547363
2024/08/01/10:49:42.007097,654.4165668529197,-779.4256418295087,2.8403140444911577,8.903516607265034,6.950196201575627,2.7438436696661768,-0.08000000000000003,-3.837636947631836
2024/08/01/10:49:42.032113,654.1524444898583,-779.5255193762399,2.9089101362328122,9.572917201259537,5.902665151169932,2.8076224182063876,-0.15000000000000002,-1.9442135095596313
2024/08/01/10:49:42.057085,653.8855438134019,-779.6139241480299,2.979100696687972,10.176730813542918,4.820226501498441,2.6963856044393633,-0.22000000000000003,0.5655732750892639
2024/08/01/10:49:42.082108,653.6149817974706,-779.6916831765785,3.0465103367989563,10.69295941040149,3.7540870376852054,2.3281091357980737,-0.29000000000000004,2.8895490169525146
2024/08/01/10:49:42.107078,653.3399550505625,-779.7597319275557,3.1047130651939083,11.096727837888706,2.781995014391255,1.6348576933868566,-0.36000000000000004,4.293364524841309
2024/08/01/10:49:42.132142,653.0601611026599,-779.8190057609247,-3.1376007996510067,11.373184662733415,2.0061696351102865,0.6112438408890455,-0.29000000000000004,4.34501838684082
2024/08/01/10:49:42.157151,652.7760339593425,-779.8702946014871,-3.1223197036287806,11.520468315612613,1.5539247862174255,-0.5080432358836278,-0.36000000000000004,3.0410971641540527
2024/08/01/10:49:42.182132,652.4888244117969,-779.9146859979658,-3.1350207845258713,11.557523416108555,1.422688671982925,-1.764355636124967,-0.41,0.7984994053840637
2024/08/01/10:49:42.207132,652.2001263073214,-779.9521512963,3.1040556317505907,11.486439710350728,1.6381214195568816,-2.9800467004754068,-0.33999999999999997,-1.683888554573059
2024/08/01/10:49:42.232163,651.9116307057426,-779.9822988459131,3.029554464238706,11.302619792785434,2.1839392565984705,-3.8590844599201373,-0.41,-3.6391849517822266
2024/08/01/10:49:42.257115,651.6247324907014,-780.0049630741523,2.9330773527407024,11.023793037447696,2.9024053926675406,-4.566293661467795,-0.33999999999999997,-4.4883551597595215
2024/08/01/10:49:42.282112,651.3400867328808,-780.0189012878888,2.8189200112040074,10.656792650397675,3.7574131781448785,-4.934109901285909,-0.41,-3.987065315246582
2024/08/01/10:49:42.307111,651.0576293771688,-780.0235063741793,2.6955672636718595,10.241227296448699,4.637464281537015,-5.114213664734173,-0.33999999999999997,-2.3007144927978516
2024/08/01/10:49:42.332201,650.7766333802626,-780.0176534338706,2.567711922053505,9.792414954791331,5.5254554281359285,-5.114758782496856,-0.41,0.059124406427145004
2024/08/01/10:49:42.357132,650.4960479358756,-780.0007540667947,2.439842952491084,9.32963424699867,6.381833426572827,-4.964777438172343,-0.33999999999999997,2.3911073207855225
2024/08/01/10:49:42.382118,650.214923065326,-779.9720316395718,2.3157235165367753,8.856035928926536,7.184905765193705,-4.764072880554014,-0.41,4.020455360412598
2024/08/01/10:49:42.407114,649.932784048614,-779.9310410642279,2.196621694522925,8.365996338485465,7.914130242953292,-4.43859048071116,-0.33999999999999997,4.487049102783203
